id,season,first,last,g_lg,1a_lg,2a_lg,pts_lg,g_ucl,1a_ucl,2a_ucl,pts_ucl,g_uel,1a_uel,2a_uel,pts_uel,g_cup,1a_cup,2a_cup,pts_cup,g_scup,1a_scup,2a_scup,pts_scup,g_uelq,1a_uelq,2a_uelq,pts_uelq,g_all,1a_all,2a_all,pts_all
brandt,2019-20,Julian,Brandt,3,8,14,25,2,3,2,7,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,7,13,16,36
bruun-larsen,2019-20,Jacob,Bruun Larsen,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
burki,2019-20,Roman,Bürki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can,2019-20,Emre,Can,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3
dahoud,2019-20,Mahmoud,Dahoud,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
delaney,2019-20,Thomas,Delaney,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
gotze,2019-20,Mario,Götze,3,0,0,3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1,5
guerreiro,2019-20,Raphaël,Guerreiro,8,4,6,18,0,1,2,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,6,8,22
haaland,2019-20,Erling,Haaland,13,2,2,17,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,2,2,20
hakimi,2019-20,Achraf,Hakimi,5,10,5,20,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,6,25
hazard,2019-20,Thorgan,Hazard,7,14,2,23,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,15,3,25
hitz,2019-20,Marwin,Hitz,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
hummels,2019-20,Mats,Hummels,1,3,2,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,7
morey,2019-20,Mateu,Morey,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
piszczek,2019-20,Łukasz,Piszczek,1,3,1,5,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,2,7
raschl,2019-20,Tobias,Raschl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reus,2019-20,Marco,Reus,11,6,3,20,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,7,3,22
reyna,2019-20,Gio,Reyna,0,1,3,4,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,6
sancho,2019-20,Jadon,Sancho,17,17,15,49,2,2,0,4,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,0,20,20,16,56
schmelzer,2019-20,Marcel,Schmelzer,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
schulz,2019-20,Nico,Schulz,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,3
toprak,2019-20,Ömer,Toprak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weigl,2019-20,Julian,Weigl,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3
witsel,2019-20,Axel,Witsel,4,5,5,14,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,5,7,16
wolf,2019-20,Marius,Wolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zagadou,2019-20,Dan-Axel,Zagadou,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
akanji,2018-19,Manuel,Akanji,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,4
alcacer,2018-19,Paco,Alcácer,18,1,3,22,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,19,3,3,25
bruun-larsen,2018-19,Jacob,Bruun Larsen,2,3,2,7,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,9
burki,2018-19,Roman,Bürki,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2
