id,match,start,mins,goals,assists,yellow,red,date,opponent,comp,round,venue,gf,ga,result
heim,16,,90,1,1,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
jung,16,,90,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
kaul,16,,74,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
lau,16,,59,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
rogge-herper,16,,90,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
schneider,16,,90,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
schroer,16,,90,0,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
zabell,16,,90,1,0,,,2022-04-06,SF Sölderholz,Kreisliga A,MD11,Home,3,1,Win
becker,17,,90,0,1,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
bergmann,17,,19,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
billig,17,,29,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
gerres,17,,90,0,1,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
glanzer,17,,90,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
goosmann,17,,45,2,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
heim,17,,90,2,2,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
herbig,17,,67,1,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
kaul,17,,45,0,0,,,2022-04-10,TuRa Asseln,Kreisliga A,MD14,Away,8,0,Win
