season,comp,round,round_alt,date,opponent,venue,min,min_alt,gf,ga,gd,scorer_first,scorer_last,assist_official,assist_1st,assist_2nd,note,id_scorer,id_assist_official,id_assist_1st,id_assist_2nd
2015-16,Europa League,QF-2,12,2016-04-14,Liverpool,Away,9,9,2,0,2,Pierre-Emerick,Aubameyang,Reus,Reus,,No 2nd Assist (Reus won the ball),aubameyang,reus,reus,
2015-16,Europa League,QF-2,12,2016-04-14,Liverpool,Away,57,57,3,1,2,Marco,Reus,Hummels,Hummels,Schmelzer,,reus,hummels,hummels,schmelzer
2015-16,Bundesliga,MD30,30,2016-04-17,Hamburger SV,Home,38,38,1,0,1,Christian,Pulisic,Hummels,Hummels,Kagawa,,pulisic,hummels,hummels,kagawa
2015-16,Bundesliga,MD30,30,2016-04-17,Hamburger SV,Home,44,44,2,0,2,Adrián,Ramos,Şahin,Şahin,,No 2nd Assist (Şahin won the ball),ramos,sahin,sahin,
2015-16,Bundesliga,MD30,30,2016-04-17,Hamburger SV,Home,86,86,3,0,3,Adrián,Ramos,,Kagawa,Leitner,No Official Assist (Kagawa shot saved and fell to Ramos),ramos,,kagawa,leitner
2015-16,DFB-Pokal,SF,5,2016-04-20,Hertha Berlin,Away,20,20,1,0,1,Gonzalo,Castro,,Kagawa,Mkhitaryan,No Official Assist (Kagawa pass blocked and fell to Castro),castro,,kagawa,mkhitaryan
2015-16,DFB-Pokal,SF,5,2016-04-20,Hertha Berlin,Away,75,75,2,0,2,Marco,Reus,Kagawa,Kagawa,Weigl,,reus,kagawa,kagawa,weigl
2015-16,DFB-Pokal,SF,5,2016-04-20,Hertha Berlin,Away,83,83,3,0,3,Henrikh,Mkhitaryan,Reus,Reus,Kagawa,,mkhitaryan,reus,reus,kagawa
2015-16,Bundesliga,MD31,31,2016-04-23,Stuttgart,Away,21,21,1,0,1,Shinji,Kagawa,Mkhitaryan,Mkhitaryan,Reus,,kagawa,mkhitaryan,mkhitaryan,reus
2015-16,Bundesliga,MD31,31,2016-04-23,Stuttgart,Away,45,45,2,0,2,Christian,Pulisic,,Mkhitaryan,Ramos,No Official Assist (Mkhitaryan shot saved and fell to Pulisic),pulisic,,mkhitaryan,ramos
2015-16,Bundesliga,MD31,31,2016-04-23,Stuttgart,Away,56,56,3,0,3,Henrikh,Mkhitaryan,,Ramos,Kagawa,No Official Assist (Ramos shot saved and fell to Mkhitaryan),mkhitaryan,,ramos,kagawa
2015-16,Bundesliga,MD32,32,2016-04-30,Wolfsburg,Home,7,7,1,0,1,Shinji,Kagawa,Mkhitaryan,Mkhitaryan,Schmelzer,,kagawa,mkhitaryan,mkhitaryan,schmelzer
